Name,count,lat,lon,avg_rating
BTM,5124,45.95485055,-112.4965953,4.1
HSR,2523,18.1475,41.538889,4.1
Koramangala 5th Block,2504,12.9343774,77.628415,3.8
JP Nagar,2235,12.2655944,76.6465404,3.7
Whitefield,2144,44.3730577,-71.6118577,3.8
Indiranagar,2083,12.9732913,77.6404672,3.8
Jayanagar,1926,27.64392675,83.0528052,3.6
Marathahalli,1846,12.9552572,77.6984163,4.6
Bannerghatta Road,1630,12.887979,77.5970812,4
Bellandur,1286,12.93577245,77.66676104,4.2
Electronic City,1258,-6.2659285,106.7842561,4.1
Koramangala 1st Block,1238,14.5395813,121.070371,4.2
Brigade Road,1218,40.28745,-76.964526,4.2
Koramangala 7th Block,1181,12.9302645,77.6332585,4
Koramangala 6th Block,1156,12.9400321,77.6203272,3.8
Sarjapur Road,1065,12.9242381,77.6289059,3.8
Ulsoor,1023,12.9778793,77.6246697,3.9
Koramangala 4th Block,1017,12.93433385,77.6304064,3.8
MG Road,918,17.9895618,79.5967057,3.9
Banashankari,906,15.8876779,75.7046777,3.1
Kalyan Nagar,853,13.0221416,77.6403368,3
Richmond Road,812,50.7721586,0.097727837,3.7
Frazer Town,727,12.996845,77.6130165,3.6
Malleshwaram,725,13.0027353,77.5703253,3.6
Basavanagudi,684,12.9417261,77.5755021,3.7
Residency Road,675,38.7385916,-77.5275749,3.2
Banaswadi,664,13.0141618,77.6518539,3.8
Brookefield,658,33.5935063,-79.0345627,3.3
New BEL Road,649,13.0346384,77.5681733,3.3
Kammanahalli,648,13.0093455,77.6377094,3.8
Rajajinagar,591,12.9882338,77.554883,4
Church Street,569,51.373656,-0.1042366,2.8
Lavelle Road,529,40.7652844,-76.373824,3.9
Shanti Nagar,511,12.9575547,77.5979099,3.9
Shivajinagar,499,18.5322493,73.84996011,4.2
Domlur,496,12.9624669,77.6381958,3.9
Cunningham Road,491,31.89376,-88.066644,2.8
Old Airport Road,446,1.3061622,103.8822692,4.2
Ejipura,439,12.945245,77.6269144,4.4
Commercial Street,370,51.516977,-0.0732447,4
St. Marks Road,352,51.5227651,-0.7354457,3.8
Koramangala 8th Block,320,12.9417812,77.6160146,3.9
Vasanth Nagar,295,12.98872125,77.58516878,3.9
Jeevan Bhima Nagar,272,12.9678074,77.6568367,3.9
Wilson Garden,246,12.9489339,77.5968273,4.6
Bommanahalli,238,12.9089453,77.6239038,3.8
Koramangala 3rd Block,216,12.9271867,77.6266252,3.6
Kumaraswamy Layout,195,12.9081487,77.5553179,4
Thippasandra,194,12.973936,77.6509982,3.7
Basaveshwara Nagar,191,12.9932739,77.5388099,3.1
Nagawara,187,13.2227,78.5541977,3.7
Seshadripuram,165,12.9931876,77.5753419,4.1
Hennur,161,13.0258087,77.6305067,4.3
Majestic,155,1.2847055,103.8432066,4
HBR Layout,153,13.0358698,77.6323597,4
Infantry Road,151,34.977289,-78.974578,3.9
Race Course Road,139,1.306731,103.8497839,3.8
City Market,126,39.76880625,-86.15345077,4.2
Yeshwantpur,119,13.02383,77.5529215,3.6
"Varthur Main Road, Whitefield",117,12.9414662,77.7470942,3.7
"ITPL Main Road, Whitefield",113,12.967576,77.7150877,4.2
South Bangalore,107,13.0646907,77.49626896,3.6
Koramangala 2nd Block,102,12.9243509,77.6255562,3.8
Hosur Road,102,12.773175,77.7831871,4
Kaggadasapura,101,12.9846713,77.6790908,3.7
CV Raman Nagar,90,17.2510682,80.1651978,4.1
Vijay Nagar,80,22.8359967,69.3405962,3.6
RT Nagar,80,13.0227204,77.595715,4.1
Sanjay Nagar,76,23.1485712,81.6048241,3.8
Sadashiv Nagar,63,15.8782951,74.5084834,3.2
Sahakara Nagar,53,13.0621474,77.58006135,3.6
Koramangala,48,13.2923988,77.7519261,4.1
East Bangalore,44,13.0215466,77.7640586,0
Jalahalli,38,11.9917786,76.5066292,2.9
Magadi Road,34,12.945048,77.263004,3.6
Langford Town,27,12.957998,77.6037312,4.1
Sankey Road,27,38.7801076,-121.5056438,3.6
Old Madras Road,22,13.194416,78.7011301,3.7
Mysore Road,22,12.3872141,76.6669626,3.8
Kanakapura Road,19,12.5607431,77.4258375,3.8
KR Puram,18,13.007516,77.695935,4.2
Uttarahalli,17,12.9055682,77.5455438,3.5
Hebbal,14,13.0382184,77.5919,3.8
Kengeri,9,12.9176571,77.4837568,4
Nagarbhavi,9,12.9546741,77.5121724,4.4
Central Bangalore,8,13.0101286,77.5548006,3.5
Yelahanka,6,13.1006982,77.5963454,3.5
West Bangalore,6,13.0011289,77.6325617,3.7
